"beta","deepSplit","minModuleSize","mergeCutHeight","n_mods","effD","delta_effD_nMods","globalMedian_mod_cohesion","grey_proportion"
14,0,20,0.15,16,3.25438090916718,12.7456190908328,0.699268184986351,0
14,0,20,0.2,12,3.38796036380053,8.61203963619947,NA,0
14,0,20,0.25,11,3.48922909985228,7.51077090014772,NA,0
14,0,20,0.3,10,3.50711703564066,6.49288296435934,NA,0
14,0,30,0.15,12,2.89821048543331,9.10178951456669,0.667963491135315,0
14,0,30,0.2,10,2.86524584702075,7.13475415297925,0.63183030671278,0
14,0,30,0.25,9,2.85714574717881,6.14285425282119,NA,0
14,0,30,0.3,7,2.79709168231793,4.20290831768207,NA,0
14,0,40,0.15,11,2.70626361896157,8.29373638103843,0.690408188240663,0
14,0,40,0.2,9,2.59868009710484,6.40131990289516,0.660089773575221,0
14,0,40,0.25,8,2.59720744774885,5.40279255225115,NA,0
14,0,40,0.3,6,2.46837219480233,3.53162780519767,NA,0
14,0,50,0.15,10,2.62660241057215,7.37339758942785,0.692031052462942,0
14,0,50,0.2,8,2.73619438719236,5.26380561280764,0.644766485187957,0
14,0,50,0.25,8,2.73619438719236,5.26380561280764,0.644766485187957,0
14,0,50,0.3,6,2.71381294232042,3.28618705767958,NA,0
14,0,60,0.15,10,2.63103236501554,7.36896763498446,0.71651421750241,0
14,0,60,0.2,8,2.74010762604606,5.25989237395394,0.652799367126787,0
14,0,60,0.25,7,2.79682006503797,4.20317993496203,0.618498318631988,0
14,0,60,0.3,6,2.72905445120643,3.27094554879357,NA,0
14,0,70,0.15,10,2.63103236501554,7.36896763498446,0.71651421750241,0
14,0,70,0.2,8,2.74010762604606,5.25989237395394,0.652799367126787,0
14,0,70,0.25,7,2.79682006503797,4.20317993496203,0.618498318631988,0
14,0,70,0.3,6,2.72905445120643,3.27094554879357,NA,0
14,0,80,0.15,10,2.63103236501554,7.36896763498446,0.71651421750241,0
14,0,80,0.2,8,2.74010762604606,5.25989237395394,0.652799367126787,0
14,0,80,0.25,7,2.79682006503797,4.20317993496203,0.618498318631988,0
14,0,80,0.3,6,2.72905445120643,3.27094554879357,NA,0
14,0,90,0.15,10,2.63103236501554,7.36896763498446,0.71651421750241,0
14,0,90,0.2,8,2.74010762604606,5.25989237395394,0.652799367126787,0
14,0,90,0.25,7,2.79682006503797,4.20317993496203,0.618498318631988,0
14,0,90,0.3,6,2.72905445120643,3.27094554879357,NA,0
14,0,100,0.15,10,2.63103236501554,7.36896763498446,0.71651421750241,0
14,0,100,0.2,8,2.74010762604606,5.25989237395394,0.652799367126787,0
14,0,100,0.25,7,2.79682006503797,4.20317993496203,0.618498318631988,0
