"","CO_4hr_APAP_24hr_vs_Control","CO_24hr_vs_Control","Control_24hr_vs_Control","CO_4hr_APAP_4hr_vs_Control","CO_8hr_APAP_8hr_vs_Control","CO_4hr_vs_Control","APAP_4hr_vs_Control","CO_4hr_APAP_24hr_vs_CO_24hr","CO_4hr_APAP_24hr_vs_Control_24hr","CO_4hr_APAP_24hr_vs_CO_4hr_APAP_4hr","CO_4hr_APAP_24hr_vs_CO_8hr_APAP_8hr","CO_4hr_APAP_24hr_vs_CO_4hr","CO_4hr_APAP_24hr_vs_APAP_4hr","CO_24hr_vs_Control_24hr","CO_24hr_vs_CO_4hr_APAP_4hr","CO_24hr_vs_CO_8hr_APAP_8hr","CO_24hr_vs_CO_4hr","CO_24hr_vs_APAP_4hr","CO_4hr_APAP_4hr_vs_Control_24hr","CO_8hr_APAP_8hr_vs_Control_24hr","CO_4hr_vs_Control_24hr","APAP_4hr_vs_Control_24hr","CO_8hr_APAP_8hr_vs_CO_4hr_APAP_4hr","CO_4hr_APAP_4hr_vs_CO_4hr","CO_4hr_APAP_4hr_vs_APAP_4hr","CO_8hr_APAP_8hr_vs_CO_4hr","CO_8hr_APAP_8hr_vs_APAP_4hr","APAP_4hr_vs_CO_4hr","sig_CO","sig_APAP","sig_CONDITIONED","sig_CO_4hr_APAP_24hr","sig_CO_24hr","sig_Control_24hr","sig_CO_4hr_APAP_4hr","sig_CO_8hr_APAP_8hr","sig_CO_4hr","sig_APAP_4hr","sig_Control","downreg_CO","downreg_APAP","downreg_CONDITIONED","downreg_CO_4hr_APAP_24hr","downreg_CO_24hr","downreg_Control_24hr","downreg_CO_4hr_APAP_4hr","downreg_CO_8hr_APAP_8hr","downreg_CO_4hr","downreg_APAP_4hr","downreg_Control","upreg_CO","upreg_APAP","upreg_CONDITIONED","upreg_CO_4hr_APAP_24hr","upreg_CO_24hr","upreg_Control_24hr","upreg_CO_4hr_APAP_4hr","upreg_CO_8hr_APAP_8hr","upreg_CO_4hr","upreg_APAP_4hr","upreg_Control","significance_entropy","downregulation_entropy","upregulation_entropy","sign_CO","sign_APAP","sign_CONDITIONED","sign_CO_4hr_APAP_24hr","sign_CO_24hr","sign_Control_24hr","sign_CO_4hr_APAP_4hr","sign_CO_8hr_APAP_8hr","sign_CO_4hr","sign_APAP_4hr","sign_Control","switch_CO","switch_APAP","switch_CONDITIONED","switch_CO_4hr_APAP_24hr","switch_CO_24hr","switch_Control_24hr","switch_CO_4hr_APAP_4hr","switch_CO_8hr_APAP_8hr","switch_CO_4hr","switch_APAP_4hr","switch_Control"
"ENSG00000000003",0.971827386424087,0.777020413660818,1.41526565090505,0.705685375095326,-0.00997162561477752,0.259612213171367,0.285636505328414,0.194806972763269,-0.443438264480965,0.266142011328761,0.981799012038864,0.71221517325272,0.686190881095673,-0.638245237244234,0.0713350385654915,0.786992039275595,0.517408200489451,0.491383908332404,-0.709580275809725,-1.42523727651983,-1.15565343773368,-1.12962914557664,-0.715657000710104,0.446073161923959,0.420048869766912,-0.269583838786145,-0.295608130943191,0.0260242921570468,0,0,0.0625,0,0,0.142857142857143,0,0.142857142857143,0,0,0,0,0,0.0625,0,0,0.142857142857143,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58496250072116,1.58496250072116,0,0,0,-1,0,0,-1,0,-1,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ENSG00000001167",-2.67579855169627,1.05798269261982,0.18077541713148,1.91842512966688,0.796376095358342,1.118160956631,0.581552461816329,-3.73378124431609,-2.85657396882775,-4.59422368136315,-3.47217464705461,-3.79395950832727,-3.2573510135126,0.877207275488338,-0.860442437047062,0.261606597261477,-0.060178264011179,0.47643023080349,1.7376497125354,0.615600678226862,0.937385539499517,0.400777044684848,-1.12204903430854,0.800264173035883,1.33687266785055,-0.321784861272656,0.214823633542013,-0.536608494814669,0,0.2,0,0.142857142857143,0,0,0.142857142857143,0,0,0,0,0,0.2,0,0.142857142857143,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58496250072116,1.58496250072116,0,0,-1,0,-1,0,0,-1,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ENSG00000001460",3.36022161978868,0.509831946168168,-1.13676170986248,0.00447293998263136,0.700851942316952,1.25486506312097,0.0556674831640148,2.85038967362051,4.49698332965116,3.35574867980605,2.65936967747173,2.10535655666771,3.30455413662467,1.64659365603064,0.505359006185537,-0.191019996148784,-0.745033116952803,0.454164463004154,1.14123464984511,1.83761365217943,2.39162677298345,1.19242919302649,0.696379002334321,-1.25039212313834,-0.0511945431813834,-0.554013120804019,0.645184459152938,-1.19919757995696,0,0.2,0.3125,0.857142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0.142857142857143,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3125,0.857142857142857,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0.142857142857143,0.142857142857143,2.66329080817766,0,2.66329080817766,0,1,1,1,1,1,1,1,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ENSG00000001461",-4.26938661690023,0.170768298801121,0.859957342589055,-1.87896156577401,-0.699149393702101,-0.623530965327625,-0.494020427882961,-4.44015491570135,-5.12934395948928,-2.39042505112622,-3.57023722319812,-3.6458556515726,-3.77536618901726,-0.689189043787934,2.04972986457513,0.869917692503222,0.794299264128745,0.664788726684082,-2.73891890836306,-1.55910673629116,-1.48348830791668,-1.35397777047202,1.17981217207191,-1.25543060044638,-1.38494113789105,-0.0756184283744766,-0.20512896581914,0.129510537444664,0,0,0.3125,0.428571428571429,0.285714285714286,0.285714285714286,0.285714285714286,0,0,0,0.142857142857143,0,0,0.25,0.428571428571429,0.142857142857143,0.285714285714286,0.142857142857143,0,0,0,0.142857142857143,0,0,0.0625,0,0.142857142857143,0,0.142857142857143,0,0,0,0,2.41592206383517,2.35538854220753,1.58496250072116,0,0,-0.6,-1,0,-1,0,0,0,0,-1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"ENSG00000001497",-4.32052302333801,-0.509810402377821,-0.623165559478952,-0.646575332675403,-0.586729007095162,-0.713160266511354,-0.00752991197593575,-3.81071262096019,-3.69735746385906,-3.67394769066261,-3.73379401624285,-3.60736275682666,-4.31299311136207,0.113355157101131,0.136764930297582,0.0769186047173411,0.203349864133533,-0.502280490401885,-0.0234097731964507,0.0364365523837898,-0.0899947070324023,0.615635647503016,0.0598463255802405,0.0665849338359515,-0.639045420699467,0.126431259416192,-0.579199095119226,0.705630354535418,0,0,0.125,0.285714285714286,0,0,0,0,0,0.142857142857143,0.142857142857143,0,0,0.125,0.285714285714286,0,0,0,0,0,0.142857142857143,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,1.91829583405449,1.91829583405449,0,0,0,-1,-1,0,0,0,0,0,-1,-1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ENSG00000001617",1.03058802495128,-0.398000756309207,-0.570693880610027,0.510665708797771,-0.853496482231568,-0.0308911031848077,0.323684410462651,1.42858878126049,1.60128190556131,0.519922316153511,1.88408450718285,1.06147912813609,0.70690361448863,0.17269312430082,-0.908666465106978,0.45549572592236,-0.3671096531244,-0.721685166771859,1.0813595894078,-0.28280260162154,0.53980277742522,0.894378291072679,-1.36416219102934,0.541556811982578,0.186981298335119,-0.82260537904676,-1.17718089269422,0.354575513647459,0,0,0.0625,0.142857142857143,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.142857142857143,0,0,0,0.142857142857143,0,0,0,1.58496250072116,0,1.58496250072116,0,0,1,1,0,0,0,1,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ENSG00000001629",-4.66409055831663,0.0113291607151891,0.666293811939482,-0.189058819231048,-0.715707447518439,-1.22346285897513,-0.74994278387557,-4.67541971903182,-5.33038437025611,-4.47503173908558,-3.94838311079819,-3.4406276993415,-3.91414777444106,-0.654964651224293,0.200387979946237,0.727036608233628,1.23479201969032,0.761271944590759,-0.855352631170529,-1.38200125945792,-1.88975667091461,-1.41623659581505,-0.526648628287391,1.03440403974408,0.560883964644522,0.507755411456689,0.0342353363571308,0.473520075099559,0.166666666666667,0.4,0.25,0.571428571428571,0.142857142857143,0.571428571428571,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.166666666666667,0.4,0.25,0.571428571428571,0.142857142857143,0.571428571428571,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,3.15422218468352,3.15422218468352,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ENSG00000002549",-5.51306535842372,-0.371025825393849,-0.279275373715902,0.238815131991468,-1.02904040550503,0.144966513897801,0.433585605255336,-5.14203953302987,-5.23378998470782,-5.75188049041519,-4.48402495291869,-5.65803187232152,-5.94665096367906,-0.0917504516779466,-0.609840957385318,0.658014580111178,-0.51599233929165,-0.804611430649185,0.518090505707371,-0.749765031789124,0.424241887613703,0.712860978971238,-1.2678555374965,0.0938486180936676,-0.194770473263867,-1.17400691940283,-1.46262601076036,0.288619091357535,0,0.4,0.3125,1,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0.4,0.3125,1,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,2.80845433092923,2.80845433092923,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ENSG00000003436",-1.08301831962467,-1.00980712758778,-1.00616244321887,0.139041642022145,-0.28421921247752,-0.138366139298596,0.137221019290154,-0.073211192036899,-0.0768558764058064,-1.22205996164682,-0.798799107147154,-0.944652180326078,-1.22023933891483,-0.0036446843689074,-1.14884876960992,-0.725587915110255,-0.871440988289179,-1.14702814687793,1.14520408524101,0.721943230741347,0.867796303920271,1.14338346250902,-0.423260854499665,0.277407781320741,0.0018206227319904,-0.145853073178924,-0.421440231767675,0.275587158588751,0.333333333333333,0.2,0.1875,0,0.428571428571429,0.571428571428571,0.285714285714286,0,0.142857142857143,0.285714285714286,0.285714285714286,0.166666666666667,0,0.125,0,0.428571428571429,0.142857142857143,0.142857142857143,0,0,0.142857142857143,0.285714285714286,0.166666666666667,0.2,0.0625,0,0,0.428571428571429,0.142857142857143,0,0.142857142857143,0.142857142857143,0,3.04643934467102,2.66353275480425,2.64160416786859,0,1,-0.333333333333333,0,-1,0.5,0,0,1,0,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
"ENSG00000003756",-1.25711837046841,0.0621802935685205,0.401576109838985,-0.245666708833774,-0.230270556892611,-0.156481666861746,-0.71108699044167,-1.31929866403693,-1.65869448030739,-1.01145166163464,-1.0268478135758,-1.10063670360666,-0.54603138002674,-0.339395816270465,0.307847002402294,0.292450850461131,0.218661960430266,0.77326728401019,-0.647242818672759,-0.631846666731596,-0.558057776700731,-1.11266310028065,0.0153961519411629,-0.0891850419720281,0.465420281607896,-0.0737888900308652,0.480816433549059,-0.554605323579924,0,0.2,0,0,0,0.142857142857143,0,0,0,0.142857142857143,0,0,0.2,0,0,0,0.142857142857143,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,1.58496250072116,1.58496250072116,0,0,-1,0,0,0,-1,0,0,0,-1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
