"","Geneid","gene_symbol","CO_4hr_APAP_24hr_1.nTPM","CO_4hr_APAP_24hr_2.nTPM","CO_24hr_3.nTPM","CO_24hr_2.nTPM","CO_24hr_1.nTPM","Control_24hr_3.nTPM","Control_24hr_2.nTPM","Control_24hr_1.nTPM","CO_4hr_APAP_4hr_3.nTPM","CO_4hr_APAP_4hr_2.nTPM","CO_4hr_APAP_4hr_1.nTPM","CO_8hr_APAP_8hr_3.nTPM","CO_8hr_APAP_8hr_2.nTPM","CO_8hr_APAP_8hr_1.nTPM","CO_4hr_3.nTPM","CO_4hr_2.nTPM","CO_4hr_1.nTPM","APAP_4hr_3.nTPM","APAP_4hr_2.nTPM","APAP_4hr_1.nTPM","Control_3.nTPM","Control_2.nTPM","Control_1.nTPM","groupTest_CO_4hr_APAP_24hr_vs_Control.padj","groupTest_CO_4hr_APAP_24hr_vs_Control.significance","groupTest_CO_24hr_vs_Control.padj","groupTest_CO_24hr_vs_Control.significance","groupTest_Control_24hr_vs_Control.padj","groupTest_Control_24hr_vs_Control.significance","groupTest_CO_4hr_APAP_4hr_vs_Control.padj","groupTest_CO_4hr_APAP_4hr_vs_Control.significance","groupTest_CO_8hr_APAP_8hr_vs_Control.padj","groupTest_CO_8hr_APAP_8hr_vs_Control.significance","groupTest_CO_4hr_vs_Control.padj","groupTest_CO_4hr_vs_Control.significance","groupTest_APAP_4hr_vs_Control.padj","groupTest_APAP_4hr_vs_Control.significance","interactionTest_co_time_4hr_vs_0hr.padj","interactionTest_co_time_4hr_vs_0hr.significance","interactionTest_apap_time_4hr_vs_0hr.padj","interactionTest_apap_time_4hr_vs_0hr.significance","interactionTest_co_time4hr.apap_time4hr.padj","interactionTest_co_time4hr.apap_time4hr.significance"
"1316","ENSG00000075624.17","ACTB",1202.23171660115,1140.35182882036,2978.6279904147,2957.10663223532,2710.50933041539,2265.97871378003,2120.04811994713,1970.48285789599,5912.92243860942,5898.15814045484,5685.02508557279,6357.07718998216,6101.73859227145,6293.78115044641,6451.33044258239,5285.96755252387,6380.18975836346,4963.12978579084,4868.58730423445,4923.58895953165,5315.17777801424,5151.60609195167,4446.37642569506,3.23311633010013e-101,"downregulated",4.00245661963525e-31,"downregulated",3.05653657641725e-95,"downregulated",0.00433785454312017,"upregulated",3.04160380007116e-05,"upregulated",0.00253103181039368,"upregulated",0.999546838479163,"not significant",0.000770685125076075,"upregulated",0.83617586399631,"not significant",0.998529711206311,"not significant"
"5611","ENSG00000125148.7","MT2A",7622.06972802245,7429.45189046668,18203.8822378059,19198.2094472347,17565.5218889706,16068.4798944688,16551.4862464155,12398.6588899097,24812.8992325815,25007.3512624414,25721.7050101802,21935.8741938335,23228.0091383977,22874.7267627734,25540.8488341636,26263.9564188411,26372.1076040178,21599.4905296834,23119.991772084,23011.7819462395,23140.2006176001,24020.2657599041,22448.6026058016,1.6085801615603e-52,"downregulated",0.00165891299531675,"downregulated",1.7627775649992e-18,"downregulated",0.537518520404733,"not significant",0.928786103859465,"not significant",0.691209937254853,"not significant",0.999546838479163,"not significant",0.427971802983051,"not significant",0.69385534485796,"not significant",0.998529711206311,"not significant"
"15606","ENSG00000184009.13","ACTG1",844.851890397572,931.675830899895,1292.98600713417,1383.59094922099,1192.74780418438,855.652037175302,890.835382669981,723.738300060507,3201.6855738529,3072.28722662926,3394.89656505363,3791.3664566999,3404.34623604102,3580.99385529992,3263.50694655336,2959.80686210984,3390.32285422447,2718.3480107476,2752.0907923214,2652.6224079608,2688.08898551275,2578.53230044722,2272.19903991947,1.56791727979325e-38,"downregulated",2.97870807204452e-33,"downregulated",1.45162784769626e-111,"downregulated",2.12672324537912e-05,"upregulated",4.99311768886313e-10,"upregulated",0.000522822659762283,"upregulated",0.999546838479163,"not significant",2.20687508838652e-05,"upregulated",0.99322359749774,"not significant",0.998529711206311,"not significant"
"14266","ENSG00000177410.14","ZFAS1",262.247790895104,244.068466942756,76.8609437732681,61.9413849519082,61.3045742917628,54.9523425087101,47.9469230408562,66.9644750739572,47.0570788661962,41.160137912684,48.4573270055761,50.1563290621581,48.8005108109721,49.0294957398401,39.3876442170302,56.586261349613,46.6219423924635,84.6124528527755,89.8092652965798,79.4437729688753,41.5630253308714,42.9237001897653,53.6876748666685,1.87714877247251e-33,"upregulated",0.0347207045573251,"upregulated",0.632942195943852,"not significant",0.998976206766536,"not significant",0.95753269184264,"not significant",0.999863879244581,"not significant",5.9233253650763e-05,"upregulated",0.999245589205102,"not significant",0.00131584638772879,"upregulated",0.271832766096933,"not significant"
"7087","ENSG00000135480.17","KRT7",397.10638392964,299.264933185327,349.860935932143,355.497782363068,250.966465558593,309.926594190533,277.862539790424,199.33482854473,2234.12090687213,2026.0529802934,2156.63947717778,2144.04280116051,2456.70254429547,2325.08853036286,2183.36270813467,2058.14515204796,2226.84304736755,1879.17189873998,2111.36900348855,2026.21690265093,1976.79996920281,1987.70036079392,1857.9273271337,1.48802819350267e-31,"downregulated",1.38053128394583e-101,"downregulated",6.97461182684388e-156,"downregulated",0.607354501122801,"not significant",0.251813854743514,"not significant",0.972977369096663,"not significant",0.999546838479163,"not significant",0.723710142427632,"not significant",0.999537080780849,"not significant",0.998529711206311,"not significant"
"2125","ENSG00000099860.10","GADD45B",379.340104970811,618.84211123775,69.2848811652691,93.8385305938032,39.3280369445224,55.518862585003,89.9649580074264,87.2934729194528,475.320384852974,500.175199383731,541.194608032772,784.870133996123,539.448318371337,683.654810788684,144.162475106067,180.378387513305,80.9933605029869,519.972527260283,448.182918366439,448.974508306655,49.1036097038417,62.0324607926713,57.1382257841387,4.70787393778003e-25,"upregulated",0.608074105845572,"not significant",0.534773202451476,"not significant",4.0683632492468e-37,"upregulated",1.26551716122033e-47,"upregulated",0.000208124793309226,"upregulated",9.05295562468751e-34,"upregulated",3.42105514084351e-05,"upregulated",3.27872719678632e-39,"upregulated",0.137327401652508,"not significant"
"20169","ENSG00000205542.11","TMSB4X",2223.65215991136,2385.7922215895,3483.8863017318,4654.55111703504,4234.13939569481,4086.26695530286,4267.64776187333,3668.79932524583,6369.32321478037,5693.89389291922,6649.65886420457,6306.4759170867,6264.82270195006,5379.72377897769,5638.62191819711,6522.58523296019,6112.64246853608,6816.87820447029,6422.93658087092,6277.38902949603,6037.37857099595,6686.91264508591,8155.02452749526,6.46434783457348e-25,"downregulated",7.38876638631328e-08,"downregulated",1.15213595334774e-11,"downregulated",0.782804879503757,"not significant",0.443641054229572,"not significant",0.948365870452158,"not significant",0.999546838479163,"not significant",0.906024502422967,"not significant",0.951241195395035,"not significant",0.992717696474748,"not significant"
"5595","ENSG00000124875.10","CXCL6",40.0743905533716,46.2751466767682,90.3033389205384,131.581037589108,129.018500634521,112.976146698434,77.9386688814582,90.6260282438865,1482.01794728898,1599.7283617416,1445.64064808839,1206.76719538644,925.873008024186,1128.10064279842,1464.35389479462,1778.63199791254,1358.55938127143,1498.36386906785,1628.27862765895,1449.63221252512,1843.23995996908,1743.47261701882,1751.37779015336,1.05199570469973e-23,"downregulated",7.36714306460722e-112,"downregulated",5.87028930376939e-164,"downregulated",0.568642961380823,"not significant",5.92938707914126e-07,"downregulated",0.926173799143062,"not significant",0.607791133308726,"not significant",0.542678897171367,"not significant",0.197170333621241,"not significant",0.790015868720776,"not significant"
"42482","ENSG00000255717.10","SNHG1",408.934013869243,361.861089944644,49.8851144389938,59.3152193383053,58.4302263175762,25.241362661597,46.4818949705036,49.0959653753044,81.7513561325036,81.7419765714433,80.0636546159201,58.8365312746728,72.4797227760463,88.0207845918178,46.2944286256101,77.5627066307211,49.9576438116974,135.32784029,113.856894421928,88.3722424551403,49.224853184592,65.6300072993466,41.9013655750351,4.59303411464853e-23,"upregulated",0.879122445635011,"not significant",0.379953605779708,"not significant",0.177515918482622,"not significant",0.494029779777367,"not significant",0.999863879244581,"not significant",0.000995679274833438,"upregulated",0.986392281409471,"not significant",0.00220456096868077,"upregulated",0.891557418934502,"not significant"
"2129","ENSG00000099875.16","MKNK2",324.965356664699,188.585981709469,64.3757855616063,56.5118530661406,53.6521978840807,90.2035259605949,104.004509129251,87.6626147355276,106.708406540818,81.2415854631619,74.0354719235336,109.738845880198,75.5052539826537,106.06667863632,75.2016460730695,76.2337657629526,57.4407663496372,146.322321187416,124.138268779445,143.633309396019,50.9285085124841,47.9008567730032,49.9392375279473,3.23666108538994e-21,"upregulated",0.591757841744083,"not significant",0.000492775133555804,"upregulated",0.00197252345661677,"upregulated",5.30918770452257e-05,"upregulated",0.532256324707458,"not significant",1.02464393935711e-11,"upregulated",0.477462957060124,"not significant",5.51249716598131e-11,"upregulated",0.0465955532634645,"downregulated"
"13569","ENSG00000173812.11","EIF1",1975.60917672438,1918.97372579101,893.170428291265,925.785499434958,978.332378895377,963.206213588209,1041.5265250072,1135.5007876422,587.203923895689,410.813263004375,446.586526569169,649.438412334932,699.245284536517,849.815271629454,737.29051865653,593.50121494567,738.377972739619,715.658862055213,696.707102130576,693.229409179323,656.698355990785,662.171399583592,812.194618551504,5.24745747706844e-21,"upregulated",0.030696103761978,"upregulated",0.00376055263242953,"upregulated",0.00126914267207225,"downregulated",0.991908005200567,"not significant",0.999863879244581,"not significant",0.999546838479163,"not significant",0.983087884456535,"not significant",0.999537080780849,"not significant",0.71229285449751,"not significant"
