"BF_annotation","apap_NGenes","co_NGenes","conditioned_NGenes","apap_Direction","co_Direction","conditioned_Direction","apap_PValue","co_PValue","conditioned_PValue","apap_FDR","co_FDR","conditioned_FDR"
"actin filament bundle assembly",5,5,5,"Down","Down","Down",0.0654967107716533,0.0219802904131299,0.0047461319449229,0.128567617440653,0.050650234430256,0.0119902101773573
"actin filament bundle organization",5,5,5,"Down","Down","Down",0.0654967107716533,0.0219802904131299,0.0047461319449229,0.128567617440653,0.050650234430256,0.0119902101773573
"actomyosin structure organization",5,5,5,"Down","Down","Down",0.0654967107716533,0.00423092482784269,0.0047461319449229,0.128567617440653,0.0122667158427063,0.0119902101773573
"adaptive thermogenesis",9,9,9,"Up","Down","Up",0.149907463608153,0.663434073793066,0.662574414271154,0.262857311666432,0.81772106769843,0.72163009891157
"aerobic electron transport chain",8,8,8,"Up","Up","Up",0.519342590763807,0.000408948725475505,0.853603350807459,0.595505503456995,0.00203196397970642,0.887077992015595
"aerobic respiration",11,11,11,"Up","Up","Up",0.291408008379426,0.000832354112016586,0.667167449937112,0.437112012569139,0.00357687307596317,0.72163009891157
"alternative mRNA splicing, via spliceosome",5,5,5,"Down","Down","Down",0.000190412120265362,0.988598665870567,0.000900840482017422,0.000946110222568518,0.988598665870567,0.00304752418384617
"ATP biosynthetic process",15,15,15,"Up","Up","Up",0.777378981964242,0.00180321004930372,0.87766788356334,0.80786443223735,0.00640521797287673,0.888848366156504
"ATP metabolic process",12,12,12,"Up","Up","Up",0.438151659889324,0.0787274291469733,0.525516830594282,0.557477442998879,0.134598507896438,0.623561015406648
"ATP synthesis coupled electron transport",8,8,8,"Up","Up","Up",0.519342590763807,0.000408948725475505,0.853603350807459,0.595505503456995,0.00203196397970642,0.887077992015595
"axonogenesis",7,7,7,"Up","Down","Down",0.317100600298218,0.000127122827779946,0.427281813483292,0.44227188988962,0.00091875134622779,0.585670761584856
"B cell activation",7,7,7,"Up","Up","Up",0.00984597678071127,1.98435305061047e-06,0.0903326189740842,0.0252501662602112,4.94033209751803e-05,0.165090648469878
"blood coagulation",6,6,6,"Up","Up","Down",0.695247731845856,0.308519441628747,0.234744996314305,0.746921549753318,0.434111426716556,0.339313221945222
"canonical NF-kappaB signal transduction",5,5,5,"Up","Up","Up",0.964196559681487,0.0905075427444747,0.192544947249497,0.964196559681487,0.148357724704861,0.309238854673435
"cell redox homeostasis",6,6,6,"Down","Up","Up",0.5243444684527,3.41783981589298e-06,0.0347686417876066,0.595505503456995,4.94033209751803e-05,0.0650378122850523
"cellular detoxification",9,9,9,"Down","Up","Up",0.44177457747081,6.45340174721124e-08,0.0245369928771494,0.557477442998879,2.05218175561318e-06,0.0470046008128524
"cellular oxidant detoxification",9,9,9,"Down","Up","Up",0.44177457747081,6.45340174721124e-08,0.0245369928771494,0.557477442998879,2.05218175561318e-06,0.0470046008128524
"cellular respiration",7,7,7,"Up","Up","Up",0.0513380547430234,1.89884569502903e-05,0.200923767603292,0.107404614528167,0.000215654618221154,0.313498427606257
"cellular response to chemical stress",5,5,5,"Up","Down","Up",0.00057501973763755,0.988598665870567,0.00527870888311327,0.00203173640631934,0.988598665870567,0.0119902101773573
"cellular response to external stimulus",5,5,5,"Up","Up","Up",0.00217659373344555,0.261186409353827,7.90104638348071e-05,0.00652978120033665,0.391779614030741,0.000400890405479163
"cellular response to oxidative stress",9,9,9,"Up","Up","Up",0.244565476826492,0.00376197182875339,0.00628854417581955,0.381234419758943,0.0119630704154358,0.0140827961120466
"cellular response to toxic substance",9,9,9,"Down","Up","Up",0.44177457747081,6.45340174721124e-08,0.0245369928771494,0.557477442998879,2.05218175561318e-06,0.0470046008128524
"cellular response to tumor necrosis factor",8,8,8,"Up","Up","Down",0.347951799959697,0.0081660958166338,0.840335233979164,0.481081184292102,0.0199755266899196,0.887077992015595
"cellular response to unfolded protein",6,6,6,"Up","Up","Up",6.42358010999359e-06,0.616127023444769,6.76699156675991e-07,7.85653259606908e-05,0.783713573821746,1.27623519684673e-05
"chromosome segregation",6,6,6,"Down","Down","Down",4.71170489393308e-05,0.987568361047136,1.40817045597499e-05,0.000312150449223067,0.988598665870567,9.82495913656005e-05
"circadian regulation of gene expression",6,6,6,"Up","Down","Down",0.462606050054479,0.0371678171899311,0.234744996314305,0.574643452802049,0.0767491290025851,0.339313221945222
"coagulation",6,6,6,"Up","Up","Down",0.695247731845856,0.308519441628747,0.234744996314305,0.746921549753318,0.434111426716556,0.339313221945222
"cold-induced thermogenesis",9,9,9,"Up","Down","Up",0.149907463608153,0.663434073793066,0.662574414271154,0.262857311666432,0.81772106769843,0.72163009891157
"cytoplasmic translation",61,61,61,"Up","Down","Up",1.34832070659917e-13,0.967563240591835,2.87567930916982e-14,2.14382992349268e-11,0.988598665870567,4.57233010158001e-12
"detoxification",12,12,12,"Down","Up","Down",0.0686326794738199,0.160892582410685,0.930197216873899,0.133080439467529,0.25328634260692,0.936084541031329
"developmental cell growth",6,6,6,"Up","Down","Down",0.462606050054479,0.00928286922352995,0.234744996314305,0.574643452802049,0.0223632758566858,0.339313221945222
"developmental growth involved in morphogenesis",10,10,10,"Up","Down","Down",0.171911914670526,0.0469789919277408,0.20111219884175,0.284729108673059,0.0945526546393771,0.313498427606257
"double-strand break repair",7,7,7,"Down","Down","Down",0.0652836498991513,0.986633902618346,0.00956023907268301,0.128567617440653,0.988598665870567,0.020267706834088
"electron transport chain",8,8,8,"Up","Up","Up",0.519342590763807,0.000408948725475505,0.853603350807459,0.595505503456995,0.00203196397970642,0.887077992015595
"embryonic organ development",6,6,6,"Up","Up","Up",1.19547791033882e-06,0.616127023444769,1.26917534099214e-05,2.24495745249016e-05,0.783713573821746,9.82495913656005e-05
"embryonic placenta development",8,8,8,"Up","Up","Up",7.63135673844742e-06,0.0081660958166338,9.12433005996816e-06,8.08923814275426e-05,0.0199755266899196,9.06730299709336e-05
"endoplasmic reticulum unfolded protein response",6,6,6,"Up","Up","Up",6.42358010999359e-06,0.616127023444769,6.76699156675991e-07,7.85653259606908e-05,0.783713573821746,1.27623519684673e-05
"energy derivation by oxidation of organic compounds",7,7,7,"Up","Up","Up",0.0513380547430234,1.89884569502903e-05,0.200923767603292,0.107404614528167,0.000215654618221154,0.313498427606257
"epidermis development",8,8,8,"Up","Up","Up",0.0343538092995744,0.0081660958166338,0.109573172689262,0.0769331785722863,0.0199755266899196,0.185341855931837
"establishment of organelle localization",11,11,11,"Down","Down","Down",2.68581997412068e-07,0.983542535035847,5.66594275192962e-08,8.54090751770376e-06,0.988598665870567,2.25221224389202e-06
"fat cell differentiation",7,7,7,"Up","Up","Up",0.00130808342881617,0.000898155861148512,0.0013015315358778,0.00433302635795355,0.00366171235699009,0.0040577159647955
"gland development",6,6,6,"Up","Up","Up",0.281293141681994,0.0101625509349109,0.0237512538826738,0.430053937763817,0.024117098487326,0.0470046008128524
"hemostasis",6,6,6,"Up","Up","Down",0.695247731845856,0.308519441628747,0.234744996314305,0.746921549753318,0.434111426716556,0.339313221945222
"hexose biosynthetic process",6,6,6,"Up","Down","Up",0.155511397172916,0.29394638136071,0.644701632345228,0.262857311666432,0.432754394781046,0.72163009891157
"histone modification",10,10,10,"Down","Down","Down",0.00498340647003374,0.000367619565897273,0.000235793970849499,0.0141493147988458,0.00203196397970642,0.0010711783247163
"homeostasis of number of cells",6,6,6,"Up","Up","Up",0.0351704095722927,3.41783981589298e-06,0.000534690853476642,0.0776679878054797,4.94033209751803e-05,0.00193217831142696
"hormone secretion",7,7,7,"Down","Down","Down",0.562444812757395,0.00401725999148448,0.104554182020527,0.629779755129759,0.0122667158427063,0.17875392409961
"hormone transport",7,7,7,"Down","Down","Down",0.562444812757395,0.00401725999148448,0.104554182020527,0.629779755129759,0.0122667158427063,0.17875392409961
"in utero embryonic development",10,10,10,"Up","Up","Up",6.93630647180995e-05,0.00624917823845627,5.47281670429727e-06,0.000441149091607113,0.0162888416379434,6.21555611416618e-05
"integrated stress response signaling",6,6,6,"Up","Up","Up",3.07637042687555e-05,0.616127023444769,0.000924856464613683,0.000257443630459586,0.783713573821746,0.00306358703903283
"intrinsic apoptotic signaling pathway",9,9,9,"Up","Down","Up",0.000260046996837089,0.98498092510896,8.04454267436297e-05,0.00125295371203325,0.988598665870567,0.000400890405479163
"lymphocyte differentiation",5,5,5,"Up","Up","Up",0.000575019737637548,3.82549959294597e-10,0.00101798459176698,0.00203173640631934,3.04127217639205e-08,0.00323719100181899
"mitochondrial ATP synthesis coupled electron transport",8,8,8,"Up","Up","Up",0.519342590763807,0.000408948725475505,0.853603350807459,0.595505503456995,0.00203196397970642,0.887077992015595
"monosaccharide biosynthetic process",6,6,6,"Up","Down","Up",0.155511397172916,0.29394638136071,0.644701632345228,0.262857311666432,0.432754394781046,0.72163009891157
"morphogenesis of a polarized epithelium",6,6,6,"Up","Up","Down",0.960963332599582,0.040099349256067,0.101377410434391,0.964196559681487,0.0817409811758288,0.177131958890859
"mRNA catabolic process",5,5,5,"Up","Up","Up",0.0209257903569839,0.00462894937460616,0.00527870888311327,0.0475314380965777,0.0122667158427063,0.0119902101773573
"mRNA splicing, via spliceosome",19,19,19,"Down","Down","Down",1.270730633485e-06,0.979090192593043,8.82930010397109e-07,2.24495745249016e-05,0.988598665870567,1.27623519684673e-05
"muscle cell development",8,8,8,"Down","Down","Down",0.0450934415256003,0.177403778128416,0.00156110970580331,0.0968899621968979,0.276541183553119,0.00469798314653394
"myeloid leukocyte differentiation",5,5,5,"Up","Up","Up",0.0209257903569839,7.1148174087182e-05,0.0031286088551099,0.0475314380965777,0.000595397877887471,0.00843133572817753
"negative regulation of amide metabolic process",5,5,5,"Up","Up","Up",0.0209257903569839,0.0006692887999918,0.0218011305786882,0.0475314380965777,0.00304048340567703,0.0438782248355876
"negative regulation of defense response",5,5,5,"Up","Up","Up",0.964196559681487,0.0905075427444747,0.192544947249497,0.964196559681487,0.148357724704861,0.309238854673435
"negative regulation of intrinsic apoptotic signaling pathway",5,5,5,"Up","Down","Up",0.00217659373344555,0.988598665870567,0.00180764263643292,0.00652978120033665,0.988598665870567,0.00532250331838582
"negative regulation of mRNA processing",5,5,5,"Down","Down","Down",0.000190412120265362,0.988598665870567,0.000261565051134847,0.000946110222568518,0.988598665870567,0.00109444324027476
"negative regulation of mRNA splicing, via spliceosome",5,5,5,"Down","Down","Down",0.000190412120265362,0.988598665870567,0.000261565051134847,0.000946110222568518,0.988598665870567,0.00109444324027476
"negative regulation of protein modification process",6,6,6,"Down","Down","Up",0.76887136198971,0.0371678171899311,0.446645015926727,0.80786443223735,0.0767491290025851,0.601835233324997
"negative regulation of proteolysis",6,6,6,"Up","Down","Up",0.000501503197184077,0.987568361047136,0.00156599438217798,0.00194485386225044,0.988598665870567,0.00469798314653394
"negative regulation of RNA splicing",5,5,5,"Down","Down","Down",0.000190412120265362,0.988598665870567,0.000261565051134847,0.000946110222568518,0.988598665870567,0.00109444324027476
"negative regulation of translation",5,5,5,"Up","Up","Up",0.0209257903569839,0.0006692887999918,0.0218011305786882,0.0475314380965777,0.00304048340567703,0.0438782248355876
"non-membrane-bounded organelle assembly",12,12,12,"Up","Up","Up",5.15547322095453e-06,0.490050975992648,8.06823457568127e-05,7.45200220119791e-05,0.665966710964368,0.000400890405479163
"nucleoside phosphate biosynthetic process",12,12,12,"Up","Up","Up",0.311858585657357,0.0787274291469733,0.525516830594282,0.438809868314334,0.134598507896438,0.623561015406648
"nucleoside triphosphate biosynthetic process",11,11,11,"Up","Up","Up",0.419407560789536,0.0648564515324679,0.517899055592278,0.557477442998879,0.127310812267437,0.623561015406648
"nucleoside triphosphate metabolic process",12,12,12,"Up","Up","Up",0.438151659889324,0.0787274291469733,0.525516830594282,0.557477442998879,0.134598507896438,0.623561015406648
"nucleotide biosynthetic process",12,12,12,"Up","Up","Up",0.311858585657357,0.0787274291469733,0.525516830594282,0.438809868314334,0.134598507896438,0.623561015406648
"ossification",5,5,5,"Up","Down","Down",0.0072078510043843,0.988598665870567,0.608564241767807,0.0187876772081492,0.988598665870567,0.696127442022168
"oxidative phosphorylation",11,11,11,"Up","Up","Up",0.291408008379426,0.000832354112016586,0.667167449937112,0.437112012569139,0.00357687307596317,0.72163009891157
"p38MAPK cascade",5,5,5,"Up","Up","Up",0.000575019737637548,0.00462894937460616,0.00527870888311327,0.00203173640631934,0.0122667158427063,0.0119902101773573
"peptide hormone secretion",6,6,6,"Down","Down","Down",0.5243444684527,0.00181279753949342,0.101377410434391,0.595505503456995,0.00640521797287673,0.177131958890859
"peptide secretion",6,6,6,"Down","Down","Down",0.5243444684527,0.00181279753949342,0.101377410434391,0.595505503456995,0.00640521797287673,0.177131958890859
