"","old_colnames","new_colnames"
"1","Geneid","Geneid"
"2","Chr","Chr"
"3","Start","Start"
"4","End","End"
"5","Strand","Strand"
"6","Length","Length"
"7","bams/CO4hr_APAP24hr_1.sorted.bam","CO_4hr_APAP_24hr_1"
"8","bams/CO4hr_APAP24hr_2.sorted.bam","CO_4hr_APAP_24hr_2"
"9","bams/CO24hr_3.sorted.bam","CO_24hr_3"
"10","bams/CO24hr_2.sorted.bam","CO_24hr_2"
"11","bams/CO24hr_1.sorted.bam","CO_24hr_1"
"12","bams/24hr_Control_3.sorted.bam","Control_24hr_3"
"13","bams/24hr_Control_2.sorted.bam","Control_24hr_2"
"14","bams/24hr_Control_1.sorted.bam","Control_24hr_1"
"15","bams/CO-4hr_+_APAP_3.sorted.bam","CO_4hr_APAP_4hr_3"
"16","bams/CO-4hr_+_APAP_2.sorted.bam","CO_4hr_APAP_4hr_2"
"17","bams/CO-4hr_+_APAP_1.sorted.bam","CO_4hr_APAP_4hr_1"
"18","bams/CO-8hr_+_APAP_3.sorted.bam","CO_8hr_APAP_8hr_3"
"19","bams/CO-8hr_+_APAP_2.sorted.bam","CO_8hr_APAP_8hr_2"
"20","bams/CO-8hr_+_APAP_1.sorted.bam","CO_8hr_APAP_8hr_1"
"21","bams/CO_4hr_3.sorted.bam","CO_4hr_3"
"22","bams/CO_4hr_2.sorted.bam","CO_4hr_2"
"23","bams/CO_4hr_1.sorted.bam","CO_4hr_1"
"24","bams/APAP_4hr_3.sorted.bam","APAP_4hr_3"
"25","bams/APAP_4hr_2.sorted.bam","APAP_4hr_2"
"26","bams/APAP_4hr_1.sorted.bam","APAP_4hr_1"
"27","bams/Control_3_sample_3.sorted.bam","Control_3"
"28","bams/Control_2_sample_2.sorted.bam","Control_2"
"29","bams/Control_1_sample_1.sorted.bam","Control_1"
